제작자,차명,생산기간(부터),생산기간(까지),리콜개시일,리콜사유
혼다코리아(주),CBR1000RR-R,4/29/21,5/12/21,1/3/22,제작 공정 중 라디에이터 캡의 제조 불량으로 라디에이터 캡과 필러넥이 제대로 밀착되지 않아 라디에이터 내부 압력을 일정하게 유지할 수 없습니다. 이로 인해 라디에이터 내부 압력이 높아지면 냉각수 저장 탱크의 오버플로 튜브에서 냉각수가 분출될 수 있습니다.
폭스바겐그룹코리아 주식회사,Polo 5 FL 1.4 TDI BMT,11/17/14,11/25/14,1/5/22,"특정 기간 내에 특정 공급 업체(이드낙)의 생산 공정 불량으로 인해, 메카트로닉스 내 오일 압력 생성기(어큐뮬레이터)의 나사산이 날카롭게 가공되어, 사용 기간 중 어큐뮬레이터 하우징에 미세 균열이 발생하여 충분한 변속 압력 생성에 지장을 줄 가능성이 있습니다."
폭스바겐그룹코리아 주식회사,Jetta 6 FL 2.0 TDI 110PS,11/5/14,2/26/15,1/5/22,"특정 기간 내에 특정 공급 업체(이드낙)의 생산 공정 불량으로 인해, 메카트로닉스 내 오일 압력 생성기(어큐뮬레이터)의 나사산이 날카롭게 가공되어, 사용 기간 중 어큐뮬레이터 하우징에 미세 균열이 발생하여 충분한 변속 압력 생성에 지장을 줄 가능성이 있습니다."
폭스바겐그룹코리아 주식회사,Jetta 1.6 TDI BMT,2/28/11,9/25/12,1/5/22,"특정 기간 내에 특정 공급 업체(이드낙)의 생산 공정 불량으로 인해, 메카트로닉스 내 오일 압력 생성기(어큐뮬레이터)의 나사산이 날카롭게 가공되어, 사용 기간 중 어큐뮬레이터 하우징에 미세 균열이 발생하여 충분한 변속 압력 생성에 지장을 줄 가능성이 있습니다."
폭스바겐그룹코리아 주식회사,Golf A7 1.6 TDI BMT,12/19/14,2/26/15,1/5/22,"특정 기간 내에 특정 공급 업체(이드낙)의 생산 공정 불량으로 인해, 메카트로닉스 내 오일 압력 생성기(어큐뮬레이터)의 나사산이 날카롭게 가공되어, 사용 기간 중 어큐뮬레이터 하우징에 미세 균열이 발생하여 충분한 변속 압력 생성에 지장을 줄 가능성이 있습니다."
폭스바겐그룹코리아 주식회사,Golf 1.6 TDI BMT,7/2/10,10/1/12,1/5/22,"특정 기간 내에 특정 공급 업체(이드낙)의 생산 공정 불량으로 인해, 메카트로닉스 내 오일 압력 생성기(어큐뮬레이터)의 나사산이 날카롭게 가공되어, 사용 기간 중 어큐뮬레이터 하우징에 미세 균열이 발생하여 충분한 변속 압력 생성에 지장을 줄 가능성이 있습니다."
메르세데스벤츠코리아(주),GLC 220 d 4MATIC,8/6/20,8/6/20,1/7/22,크랭크샤프트의 내구성 부족으로 인해 엔진 부하가 높을 경우 크랭크샤프트가 파손될 수 있습니다.
메르세데스벤츠코리아(주),E 220 d 4MATIC,8/26/20,8/26/20,1/7/22,크랭크샤프트의 내구성 부족으로 인해 엔진 부하가 높을 경우 크랭크샤프트가 파손될 수 있습니다.
메르세데스벤츠코리아(주),GLE 350 e 4MATIC Coupe,3/25/20,1/26/21,1/7/22,"연료탱크 압력 센서의 고정 클립이 내식성 부족으로 장기간 운행 시 고정 클립이 부식될 수 있고, 고정력이 상실되어 연료 탱크 압력 센서가 헐거워질 수도 있습니다."
메르세데스벤츠코리아(주),GLE 350 e 4MATIC,3/27/20,1/25/21,1/7/22,"연료탱크 압력 센서의 고정 클립이 내식성 부족으로 장기간 운행 시 고정 클립이 부식될 수 있고, 고정력이 상실되어 연료 탱크 압력 센서가 헐거워질 수도 있습니다."
폭스바겐그룹코리아 주식회사,Tiguan 2.0 TDI BMT,8/22/11,6/29/12,1/10/22,일부 대상 차량의 엔진컨트롤유닛 소프트웨어 오류로 EGR(배기가스 재순환 장치) 배관 내 온도가 상승할 수 있습니다. 또한 EGR 쿨러 (배기가스 재순환 냉각기)의 내구성 부족에 의한 미세 균열로 냉각수가 누수 될 수 있습니다.
폭스바겐그룹코리아 주식회사,Tiguan 2.0 TDI,9/3/10,9/15/11,1/10/22,일부 대상 차량의 엔진컨트롤유닛 소프트웨어 오류로 EGR(배기가스 재순환 장치) 배관 내 온도가 상승할 수 있습니다. 또한 EGR 쿨러 (배기가스 재순환 냉각기)의 내구성 부족에 의한 미세 균열로 냉각수가 누수 될 수 있습니다.
비엠더블유코리아(주),BMW i4 M50,11/22/21,11/25/21,1/14/22,"BMW 자체 품질 조사 결과 2021년 11월 22일부터 2021년 11월 30일까지 제작된 BMW i4 eDrive40, i4 M50 차량 72대의 차량 생산 과정에서 고전압 배터리 충격 완화 패드*가 장착되지 않았을 가능성을 확인하였습니다. *고전압 배터리 충격 완화 패드: 배터리와 차대 사이에 장착되어 측면 충돌 시 차대가 고전압 배터리에 손상을 입히는 것을 최소화하는 장치"
비엠더블유코리아(주),BMW i4 eDrive40,11/23/21,11/30/21,1/14/22,"BMW 자체 품질 조사 결과 2021년 11월 22일부터 2021년 11월 30일까지 제작된 BMW i4 eDrive40, i4 M50 차량 72대의 차량 생산 과정에서 고전압 배터리 충격 완화 패드*가 장착되지 않았을 가능성을 확인하였습니다. *고전압 배터리 충격 완화 패드: 배터리와 차대 사이에 장착되어 측면 충돌 시 차대가 고전압 배터리에 손상을 입히는 것을 최소화하는 장치"
메르세데스벤츠코리아(주),C 300,3/15/21,3/26/21,1/14/22,엔진 컨트롤 유닛의 소프트웨어 오류로 인해 엔진 시동 후 차량 도난방지 장치(vehicle immobilizer)의 데이터를 엔진 컨트롤 유닛에 저장하지 못할 수 있습니다.
메르세데스벤츠코리아(주),C 200 4MATIC,3/16/21,3/16/21,1/14/22,엔진 컨트롤 유닛의 소프트웨어 오류로 인해 엔진 시동 후 차량 도난방지 장치(vehicle immobilizer)의 데이터를 엔진 컨트롤 유닛에 저장하지 못할 수 있습니다.
메르세데스벤츠코리아(주),C 300,3/26/21,3/26/21,1/14/22,파워트레인 컨트롤 유닛의 소프트웨어 오류로 인해 차량 운행 중 파워트레인 컨트롤 유닛이 의도하지 않게 재부팅될 수 있습니다.
